http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35588,Rideau Recognition Solutions Inc.,97965913-7359611,2016-06-13,0186 - Autres frais supplémentaires relatifs au personnel,2016-06-13 au 2017-03-31,"17 346,63 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35711,DEMENAGEMENT OUTAOUAIS INC.,228385913-7360363,2016-06-30,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-30 au 2016-11-30,"16 953,60 $",Marché concurrentiel
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35703,ZIEGLER,228365913-7360343,2016-06-29,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-29 au 2016-08-30,"24 093,93 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35668,Interdean Relocation Services,338275913-7360165,2016-06-24,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-24 au 2016-07-30,"15 082,37 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35644,"ARMSTRONG RELOCATION FLORIDA, LLC",291215913-7360037,2016-06-22,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-22 au 2016-11-30,"33 704,99 $",Marché concurrentiel
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35641,Interdean Relocation Services,525205913-7360020,2016-06-22,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-22 au 2016-06-30,"16 963,38 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35642,Interdean Relocation Services,791205913-7360029,2016-06-22,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-22 au 2016-07-31,"15 765,61 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35634,Interdean Relocation Services,713185913-7359968,2016-06-21,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-21 au 2016-07-31,"13 393,63 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35635,Interdean Relocation Services,963185913-7359976,2016-06-21,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-21 au 2016-07-31,"13 486,04 $",Commande subséquente à une offre à commande
http://w03.international.gc.ca/dc/index_fa-ae.aspx?lang=fra&p=4&r=49&c=35589,FINK BRASILIA LTDA,24475913-7359614,2016-06-15,0208 - Réinstallation des employés à l'extérieur du Canada et(ou) au retour,2016-06-15 au 2017-03-31,"19 694,22 $",Commande subséquente à une offre à commande
